,Layer Info,,,,,,,,Map Notes,
,Level,"Layer Name 
(Ctrl+F Recommended)",,,,,,,,
,,,Faction,Battlegroup Type,Battlegroup Name,Usable Teams,Vehicles (Link),,Changes,Notes
,,TEAM 1 is ALWAYS THE ATTACKER on INVASION/DESTRUCTION/INSURGENCY,,,,,,,,
,,,,,,,,,,
,AlBasrah,AlBasrah_AAS_v1,,,,,,,,
,,,,,BAF  3rd Division Battle Group,Team1 Default,,,,
,,,,,INS  Irregular Battle Group,Team2 Default,,,,
,,,ADF,,ADF  3rd Brigade Battle Group,Team1 / Team2,ADF  3rd Brigade Battle Group,https://docs.google.com/spreadsheets/d/1uRUfh-HvOncjHo36uciChQn4MD2oK78g3WLoHLtTREk/edit#gid=55130916?range=B1,,
,,,,AirAssault,ADF  Royal Australian Regiment,Team1 / Team2,ADF  Royal Australian Regiment,https://docs.google.com/spreadsheets/d/1uRUfh-HvOncjHo36uciChQn4MD2oK78g3WLoHLtTREk/edit#gid=196602319?range=B1,,
,,,,Mechanized,ADF  Royal Australian Regiment,Team1 / Team2,ADF  Royal Australian Regiment,https://docs.google.com/spreadsheets/d/1uRUfh-HvOncjHo36uciChQn4MD2oK78g3WLoHLtTREk/edit?gid=996007242#gid=996007242?range=B1,,
,,,BAF,,BAF  3rd Division Battle Group,Team1 / Team2,BAF  3rd Division Battle Group,https://docs.google.com/spreadsheets/d/1uRUfh-HvOncjHo36uciChQn4MD2oK78g3WLoHLtTREk/edit#gid=55130916?range=F1,,
,,,,AirAssault,BAF  Parachute Regiment,Team1 / Team2,BAF  Parachute Regiment,https://docs.google.com/spreadsheets/d/1uRUfh-HvOncjHo36uciChQn4MD2oK78g3WLoHLtTREk/edit#gid=196602319?range=F1,,
,,,,Armored,BAF  Queen's Royal Hussars Battle Group,Team1 / Team2,BAF  Queen's Royal Hussars Battle Group,https://docs.google.com/spreadsheets/d/1uRUfh-HvOncjHo36uciChQn4MD2oK78g3WLoHLtTREk/edit#gid=774448026?range=B1,,
